000			Story of Legends
000-024-001	Champ de mines
000-024-002	Stylo à bille
000-024-003	Tranchée boueuse
000-024-004	Jungle des snipers
000-024-005	Soldat du couchant
000-024-006	Le dos du père
000-024-007	Regagner
000-025		Pollueur des mers
000-025-000	Plateforme pétrolière
000-025-001	Doux aldéhyde
000-025-002	Épreuve ancienne
000-025-003	Je connais ta technique
000-025-004	Côte et déchets
000-025-005	Champ de benzène
000-025-006	Cerbère du gouvernement
000-025-007	Porte tambour flottante
000-026		Corps et âme
000-026-000	Le cri du soleil couchant
000-026-001	Gestalt et déclin
000-026-002	Aube du guerrier
000-026-003	Blizzards maudits
000-026-004	Signe du Chat
000-026-005	Par désespoir
000-026-006	Syndrome métabolique
000-026-007	Amour et mort
000-027		Fondant et acide
000-027-000	Au moins, je suis un Chat
000-027-001	Chevaliers de la ronde
000-027-002	Chatharsis
000-027-003	Joli final
000-027-004	Fin des cauchemars
000-027-005	Apprendre à aimer
000-028		Chats intrépides
000-028-000	Conflit renouvelé
000-028-001	Ordre mystérieux
000-028-002	Observation des oiseaux
000-028-003	Dialogue épineux
000-028-004	Dark Web
000-029		Cosmopole de l’ombre
000-029-000	Forêt affamée
000-029-001	Centrale des surdoués
000-029-002	Heure de pointe matinale
000-029-003	Massacre aux docks
000-029-004	Chasseur souterrain
000-029-005	Seigneur des abysses
000-030		Galapa-Goth
000-030-000	ADN et ADH
000-030-001	Braconniers du crépuscule
000-030-002	Troupeau survivant
000-030-003	Écologie alien
000-030-004	Créatures célestes
000-030-005	Société protectrice
000-031		Cap Kombu
000-031-000	Bocage de Rinrin
000-031-001	Plaines ibériques
000-031-002	Dunes en pleurs
000-031-003	Golden Gai
000-031-004	Route Pied-de-plomb
000-031-005	Ennuis au manoir
000-032		Axe du mal
000-032-000	Hiérarchie
000-032-001	Technocratie
000-032-002	Assaut sans pitié
000-032-003	Mers célestes
000-032-004	La mort en face
000-032-005	Mon espion à moi
000-033		La banlieue des morts
000-033-000	Mon cher mausolée
000-033-001	Marais du sacrifice
000-033-002	Donjon des rêves
000-033-003	Route des revenants
000-033-004	Jardins Brille-fantôme
000-033-005	Miaulement silencieux
000-034		Île de la quarantaine
000-034-000	Contrebande virale
000-034-001	Algue bionique
000-034-002	Coutumes ancestrales
000-034-003	Haute tour
000-034-004	Tranchées du thon
000-034-005	Le roi contaminé
000-035		Pays des souris
000-035-000	Accueil aux portes
000-035-001	Rafiot bancal
000-035-002	Cauchemar virtuel
000-035-003	Plus 50 degrés
000-035-004	Poulailler irrésistible
000-035-005	La studette hantée
000-036		Promenade de la célébrité
000-036-000	Paradis des paparazzi
000-036-001	Guenilles et rumeurs
000-036-002	Scoop à Beverly Hills
000-036-003	Allée bon-enfant
000-036-004	Scandales coquins
000-036-005	Studios du multivers
000-037		Côte des pickpockets
000-037-000	Concours de natation
000-037-001	Salon de brise marine
000-037-002	Mort en haute mer
000-037-003	Parade procrastinante
000-037-004	Grande exposition
000-037-005	Allers simples
000-038		Dessus dessous
000-038-000	Bain électrique
000-038-001	Source bouillante
000-038-002	Traitement minéral
000-038-003	Moisissure de douche
000-038-004	Les gars du sauna
000-038-005	La mort par la vapeur
000-039		Île sans vent
000-039-000	Quais étroits
000-039-001	Autoroute romantique
000-039-002	Massage d’ivrogne
000-039-003	Goulag de l’amour
000-039-004	Pièce aux parfums
000-039-005	Maisons sacrées
000-040		Catacombes informatiques
000-040-000	Gardien de Caliban
000-040-001	Rêves bas débit
000-040-002	Télé-trône
000-040-003	Cimetière de l’OS
000-040-004	La faille sacrée
000-040-005	Présages haut débit
000-041		Galerie du grotesque
000-041-000	Crimes cubistes
000-041-001	Péchés surréalistes
000-041-002	Goules à la gouache
000-041-003	Mort dadaïque
000-041-004	Bêtes baroques
000-041-005	Atroce Art déco
000-042		Zone 22
000-042-000	Incident de Roswell
000-042-001	Enlèvement de Chat
000-042-002	OVNI d’Adamski
000-042-003	Chupacabra d’amour
000-042-004	Onde de Toungouska
000-042-005	Fatigue d’outre-monde
000-043		Par-delà la savane
000-043-000	Mange les faibles
000-043-001	Nikumanjaro
000-043-002	La noble tribu
000-043-003	Saison sèche
000-043-004	Électrosafari
000-043-005	Oasis du paradis
000-044		Boulevard du blizzard
000-044-000	Jonction du frisson
000-044-001	Tunnel qui fuit
000-044-002	Parc des gelures
000-044-003	Péage tempéré
000-044-004	Panneaux dormeurs
000-044-005	Péage cramoisi
000-045		Anomaville
000-045-000	Ventes omniprésentes
000-045-001	Récolte virtuelle
000-045-002	Foyers portables
000-045-003	Engrais 8K
000-045-004	Crépuscule blockchain
000-045-005	Génome hanté
000-046		Aux confins de la Terre
000-046-000	Sanctuaire ultime
000-046-001	Vallée de la fin
000-046-002	Tour finale
000-046-003	Dernier labyrinthe
000-046-004	Conclusion caverneuse
000-046-005	Temple de l’apocalypse
000-047		Fin de la légende
000-047-000	Jugement dernier
000-047-001	Soif de vengeance
000-047-002	Gloire des gloires
000-047-003	Moment de sérénité
000-047-004	Fausse résurrection
000-047-005	Gobelet du serment
000-047-006	Zéphyr du crépuscule
000-047-007	Promesses oubliées
000-048		Labo des reliques
000-048-000	Forces surnaturelles

001			Regular Event Stages
001-000		Niveau du lundi
001-000-000	Chat fortuné (facile)
001-000-001	Chat fortuné (normal)
001-000-002	Chat fortuné (difficile)
001-001		Niveau du mardi
001-001-000	Chaccéléré (facile)
001-001-001	Chaccéléré (normal)
001-001-002	Chaccéléré (difficile)
001-002		Niveau du mercredi
001-002-000	Chat diplômé (facile)
001-002-001	Chat diplômé (normal)
001-002-002	Chat diplômé (difficile)
001-003		Niveau du jeudi
001-003-000	Chat tireur (facile)
001-003-001	Chat tireur (normal)
001-003-002	Chat tireur (difficile)
001-004		Niveau du vendredi
001-004-000	Chat utile (facile)
001-004-001	Chat utile (normal)
001-004-002	Chat utile (difficile)
001-005		Niveau du week-end
001-005-000	Douceur XP (facile)
001-005-001	Douceur XP (normal)
001-005-002	Douceur XP (difficile)
001-006		Chance de ticket Chapsule !
001-006-000	Amour et hippo métal (difficile)
001-007		Siège de Hippo !
001-007-000	Super hippo métal (expert)
001-008		Automne = Jour des sports !
001-008-000	Rencontre athlétique
001-008-001	Anti-Halloween
001-008-002	Gagner et perdre
001-009		L’amour du travail
001-009-000	Interminables rencontres
001-009-001	Coworkers fainéants
001-009-002	Stress antistress
001-009-003	Emplois en sécurité
001-009-004	Congés non payés
001-009-005	Précieuse dernière minute
001-010		Petit Chachat Noël
001-010-000	Cette nuit-là
001-010-001	Cette chanson-là
001-010-002	Marmite chaude
001-010-003	Chat et neige
001-010-004	Père Noël à mi-temps
001-010-005	Père Noël ou père Satan ?
001-010-006	Père Noël salarié
001-010-007	Noyeux Joël
001-011		Bonne année ?
001-011-000	Vacances ratées
001-011-001	Le régime a échoué
001-011-002	Halte aux résolutions
001-011-003	Un dernier verre
001-011-004	La fête après l’after
001-011-005	Compte à rebours raté
001-011-006	Coma festif
001-011-007	Gueule de bois
001-012		Bonheur rituel
001-012-000	Démon angélique
001-012-001	Dracula donne son sang
001-012-002	Mon loup-garou à moi
001-012-003	Momies au bronzage
001-012-004	Âmes à louer
001-012-005	Lucifer aime rigoler
001-012-006	Zombies et vie saine
001-012-007	Humains plus effrayants
001-013		Les ursidés
001-013-000	Petite-Grande Ours
001-013-001	Comme un ours
001-013-002	Ours capitonné
001-013-003	Abeilles et oreilles
001-013-004	Ours armés
001-013-005	Devenir bipolaire
001-013-006	Combat à griffes nues
001-013-007	Insourstenable
001-014		Catastrophe écarlate
001-014-000	Attaque sur Cyclone-R (expert)
001-015		Paradis des ténèbres
001-015-000	Attaque sur Cyclone-B (expert)
001-016		Sans égal
001-016-000	Attaque sur Cyclone-W (expert)
001-017		Chat maboul
001-017-000	Sombres âmes (maniaque)
001-018		Chat tank maboul
001-018-000	Défense absolue (maniaque)
001-019		Chat borgne maboul
001-019-000	La Fureur (maniaque)
001-020		Grand Chat maboul
001-020-000	Dingo Festival (maniaque)
001-021		Chat vache maboul
001-021-000	Secoue-tête (maniaque)
001-022		Chat oiseau maboul
001-022-000	Chat volant (maniaque)
001-023		Chat poisson maboul
001-023-000	Enfer poissonneux (maniaque)
001-024		Chat lézard maboul
001-024-000	Mammifères ? (maniaque)
001-025		Chat titan maboul
001-025-000	Chats cinglés (maniaque)
001-026		Professeur ! C’est le printemps !
001-026-000	Chachat Land
001-026-001	Love Chactually
001-026-002	N’oublie Chamais
001-026-003	PS Chat loves you
001-026-004	Chamour et chamnésie
001-026-005	Prête-moi ton Chat
001-026-006	J.T.M.
001-026-007	Retour à zéro
001-027		Niveau du week-end
001-027-000	Douceur XP (facile)
001-027-001	Douceur XP (normal)
001-027-002	Douceur XP (difficile)
001-027-003	Douceur XP (vétéran)
001-027-004	Douceur XP (expert)
001-027-005	Douce XP (maniaque)
001-028		Guerrilla d'XP
001-028-000	Douceur XP (facile)
001-028-001	Douceur XP (normal)
001-028-002	Douceur XP (difficile)
001-028-003	Douceur XP (vétéran)
001-028-004	Douceur XP (expert)
001-028-005	Douce XP (maniaque)
001-029		L’amour donne des ailes
001-029-000	Aimer l’amour
001-029-001	Finie la moue !
001-029-002	Ne pas répondre
001-029-003	Rencard en ligne !
001-029-004	Bloqué sur FB !
001-029-005	Le travail ou moi !
001-029-006	Soyons amis
001-029-007	Ne pas abandonner !
001-030		La noce interdite
001-030-000	Corvées des mariés
001-030-001	Envoi d’un ami
001-030-002	Sur la Macarena
001-030-003	Un bouquet raté
001-030-004	Drame familial
001-030-005	Mauvais nom pour la mariée
001-030-006	L’ex n’est pas d’accord
001-030-007	Non, je ne veux pas
001-031		Jamais l’été !
001-031-000	Le maso d’à côté
001-031-001	Déjà l’été ?
001-031-002	Au sujet des Chats
001-031-003	Smoothie estival
001-031-004	Affamé en été
001-031-005	Ma chair fraîche
001-031-006	Sacs de sable sur le cap
001-031-007	Ici et miaoutenant
001-032		Intrus d’outre-tombe
001-032-000	Papa revient nous hanter
001-032-001	Mais on est en vacances
001-032-002	Pas de passe-muraille ?
001-032-003	Envole-toi !
001-032-004	Héritage dilapidé
001-032-005	Embauche faux pleureurs
001-032-006	Une tombe en plastique...
001-032-007	Je ne suis plus là.
001-033		Étoiles d’événement mensuel Célébration spéciale !
001-033-000	Remerciements ! (maniaque)
001-034		Étoiles d’événement mensuel Célébration ultra rare !
001-034-000	Ultra stress ! (maniaque)
001-035		Étoiles d’événement mensuel Célébration miraculeuse !
001-035-000	Tactique miracle ! (maniaque)
001-036		Club du 3e âge
001-036-000	Joggeurs de l’aube
001-036-001	Boxeurs à plein temps
001-036-002	Fuir de chez soi
001-036-003	Longue conditionnelle
001-036-004	Lutteur à griffes nues
001-036-005	Femmes trophées
001-036-006	Vivre le rêve
001-036-007	L’épouse commande
001-038		Automne = Jour des sports !
001-038-000	S’échauffer d’abord
001-038-001	Entrée maladroite
001-038-002	Papa, ne filme pas !
001-038-003	Course en sacs
001-038-004	Plus vite pieds nus
001-038-005	Œuf au plat
001-038-006	Cours, poulet !
001-038-007	Tout le monde gagne
001-039		Colère des cieux
001-039-000	Maelstrom en approche (expert)
001-040		Joyeux anniversaire ! N° 1
001-040-000	2 ans, bravo !
001-041		Joyeux anniversaire ! N° 2
001-041-000	2 ans, bravo !
001-042		Joyeux anniversaire ! N° 3
001-042-000	2 ans, bravo !
001-043		Douce ironie
001-043-000	Attaque sur Titanium (maniaque)
001-044		Bonne année 2015 !
001-044-000	Premier lever !
001-045		Éveil : Chactrice
001-045-000	Entrer en scène (vétéran)
001-045-001	Entrer en scène (maniaque)
001-046		Éveil : Chat kung-fu
001-046-000	Voie du kung-fu (expert)
001-046-001	Voie du kung-fu (maniaque)
001-047		Éveil : Mr.
001-047-000	Évolution de Mr. (expert)
001-047-001	Évolution de Mr. (maniaque)
001-048		Éveil : Chat bondage
001-048-000	Évolution ligotée (expert)
001-048-001	Évolution ligotée (maniaque)
001-049		Éveil : Chat dom
001-049-000	Coup de fouet (expert)
001-049-001	Coup de fouet (maniaque)
001-050		Éveil : Chats en boîte
001-050-000	Mise en boîte (expert)
001-050-001	Mise en boîte (maniaque)
001-051		Éveil : Chat culotte
001-051-000	Dans la dentelle (expert)
001-051-001	Dans la dentelle (maniaque)
001-052		Éveil : Chat tricycle
001-052-000	Enfer sur 3 roues (expert)
001-052-001	Enfer sur 3 roues (maniaque)
001-053		Éveil : Chat ninja
001-053-000	Voie du ninja (vétéran)
001-053-001	Voie du ninja (maniaque)
001-054		Éveil : Chat zombie
001-054-000	Évolution titubante (expert)
001-054-001	Évolution titubante (maniaque)
001-055		Éveil : Chamouraï
001-055-000	Voie du samouraï (vétéran)
001-055-001	Voie du samouraï (maniaque)
001-056		Éveil : Chat sumo
001-056-000	Oh, Yokozuna ! (expert)
001-056-001	Oh, Yokozuna ! (maniaque)
001-057		Éveil : Chat boogie
001-057-000	Dansons maintenant (expert)
001-057-001	Dansons maintenant (maniaque)
001-058		Éveil : Chat jupette
001-058-000	Danger en jupons (vétéran)
001-058-001	Danger en jupons (maniaque)
001-059		Mega-Guerrilla XP !
001-059-000	Palais raffiné (maniaque)
001-060		Doux chagrin
001-060-000	Chats-mallows
001-060-001	Masque-pain
001-060-002	Cavité grouillante
001-061		Descente aux enfers
001-061-000	Grotte de l’est
001-062		Descente aux enfers II
001-062-000	Marche occidentale
001-063		Descente aux enfers III
001-063-000	Fort du sud
001-064		Descente aux enfers ∞
001-064-000	Cratère nord
001-065		The Battle Cats POP!
001-065-000	Poppin' in 3D!
001-065-001	Fight your Friends!
001-065-002	Player VS Player
001-065-003	Pay Only Once!
001-065-004	No I-A-P!
001-065-005	Get Those Ubers
001-065-006	Conquer the Galaxy
001-065-007	But the App's Fun Too :)
001-066		Dimension désespoir
001-066-000	Place au trou noir (maniaque)
001-068		
001-068-000	20 millions d’heureux !
001-069		Carnaval Mortel
001-069-000	Carnaval tornade (mortel)
001-069-001	Carnaval éveillé (mortel)
001-070		Étoiles d’événement mensuel Merveilleuse célébration
001-070-000	Magnifique conquête (maniaque)
001-071		
001-071-000	Plus vite qu’un fast-food
001-072		Toussaint
001-072-000	Douce Samain
001-072-001	Citrouille lanterne
001-072-002	Carnaval cosplay
001-072-003	Un bonbon ou ça barde
001-072-004	Hello Halloween
001-072-005	Fête des récoltes
001-073		Guerilla du lundi
001-073-000	Chat fortuné (vétéran)
001-074		Guerilla du mardi
001-074-000	Chaccéléré (vétéran)
001-075		Guerilla du mercredi
001-075-000	Chat diplômé (vétéran)
001-076		Guerilla du jeudi
001-076-000	Chat tireur (vétéran)
001-077		Guerilla du vendredi
001-077-000	Chat utile (vétéran)
001-078		Face au danger
001-078-000	Visage d’acier (mortel)
001-079		Étoiles d’événement Excellente célébration !
001-079-000	Unité d’élite (maniaque)
001-080		Cadeau d’anniversaire !
001-080-000	3 ans, bravo !
001-081		Ça sent le sapin
001-081-000	On arrive en ville !
001-081-001	Renne d’un soir
001-081-002	Crème fouettée
001-081-003	Coup d’atelier
001-081-004	Noël en guerre
001-082		Ce n’est qu’un au revoir
001-082-000	Première aube annuelle !
001-083		Éveil : Chat adulte
001-083-000	Croissance (expert)
001-083-001	Croissance (maniaque)
001-084		Éveil : Chat diabolique
001-084-000	Un truc louche (expert)
001-084-001	Un truc louche (maniaque)
001-085		Éveil : Chats poupées
001-085-000	Pomponnés (expert)
001-085-001	Pomponnés (maniaque)
001-086		Éveil : Minette
001-086-000	Minette de l’ordre (expert)
001-086-001	Minette de l’ordre (maniaque)
001-087		Éveil : Chat koï
001-087-000	Carpe Diem (expert)
001-087-001	Carpe Diem (maniaque)
001-088		Éveil : Madame mariée
001-088-000	Blues de mariage (expert)
001-088-001	Blues de mariage (maniaque)
001-089		Fin de vacances
001-089-000	Fin de vacances (expert)
001-089-001	Fin de vacances (maniaque)
001-090		Éveil : Vengeance
001-090-000	Traaansformation ! (expert)
001-090-001	Traaansformation ! (maniaque)
001-091		Éveil : Chat kung-fu X
001-091-000	Vieux maître (expert)
001-091-001	Vieux maître (maniaque)
001-092		Éveil : Chat Jour des sports
001-092-000	Sueur et larmes (expert)
001-092-001	Sueur et larmes (maniaque)
001-093		Éveil : Chat salarié
001-093-000	Fièvre des 35 heures (expert)
001-093-001	Fièvre des 35 heures (maniaque)
001-094		Éveil : Chat poisson renne
001-094-000	Route des rennes (expert)
001-094-001	Route des rennes (maniaque)
001-095		Clionel ascendant
001-095-000	Pas de plan A (mortel)
001-096		Rouge levant
001-096-000	Orage en approche (maniaque)
001-097		Croissance verte
001-097-000	Vert de jalousie (difficile)
001-097-001	Vert de jalousie (expert)
001-097-002	Vert de jalousie (maniaque)
001-098		Croissance violette
001-098-000	Éclair violet (difficile)
001-098-001	Éclair violet (expert)
001-098-002	Éclair violet (maniaque)
001-099		Croissance rouge
001-099-000	Passion rouge (difficile)
001-099-001	Passion rouge (expert)
001-099-002	Passions rouges (maniaque)
001-100		Croissance bleue
001-100-000	Illusion bleue (difficile)
001-100-001	Illusion bleue (expert)
001-100-002	Illusion bleue (maniaque)
001-101		Croissance jaune
001-101-000	Rayons d’or (difficile)
001-101-001	Rayons d’or (expert)
001-101-002	Rayons d’or (maniaque)
001-102		Chat dément
001-102-000	Fatal faucon (mortel)
001-103		Chat tank dément
001-103-000	Vulcaniseur (mortel)
001-104		Chat borgne dément
001-104-000	Guerre injuste (mortel)
001-105		Grand Chat dément
001-105-000	Fête du muscle (mortel)
001-106		Chat vache dément
001-106-000	Plein de lions (mortel)
001-107		Chat oiseau dément
001-107-000	Bêtes des bois (mortel)
001-108		Chat poisson dément
001-108-000	Île de l’ogre (mortel)
001-109		Chat lézard dément
001-109-000	Draconien (mortel)
001-110		Chat titan dément
001-110-000	Résident félin (mortel)
001-111		De mal en pis
001-111-000	Tragédie en rouge (maniaque)
001-112		Jour du jugement
001-112-000	Explosion dans le ciel (maniaque)
001-114		Technévrose
001-114-000	Bases techniques (maniaque)
001-115		Journal d’été
001-115-000	En pantacourt
001-115-001	Bataille d’eau
001-115-002	Soins dentaires au sucre
001-115-003	Enfer de moustiques
001-115-004	Cierges magiques
001-115-005	Barbecue à la maison
001-116		Pack mystère
001-116-000	Expéditeur inconnu
001-117		Fleuve Styx
001-117-000	Au pays du carnage (mortel)
001-118		Buffet de Chagrumes
001-118-000	Vert de jalousie (difficile)
001-118-001	Vert de jalousie (expert)
001-118-002	Vert de jalousie (maniaque)
001-119		Couronnement de la reine
001-119-000	Piège à miel (mortel)
001-120		Carnaval Mortel II
001-120-000	Carnaval tornade II (mortel)
001-120-001	Carnaval éveillé II (mortel)
001-121		Festival des saveurs
001-121-000	Saucisses sans viande
001-121-001	Air en friture
001-121-002	Brûlé à la perfection
001-121-003	Pas vraiment bio
001-121-004	Je vais me changer...
001-121-005	Toujours dans le rouge
001-122		La mort qui roule
001-122-000	Tempête impie (maniaque)
001-123		Cadeau d’anniversaire !
001-123-000	4 ans de rigolade !
001-124		Colisée XP
001-124-000	Trempé dans les flammes (mortel)
001-125		Les Chats à la neige
001-125-000	Langue de Chat
001-125-001	Blanche colombe
001-125-002	Neige à l’aube
001-125-003	Bouddha romantique
001-125-004	Désir glacé
001-126		Bonané !
001-126-000	Premier soleil de l’année
001-127		Journée du Chat
001-127-000	Instinct sauvage
001-127-001	Griffes ensanglantées
001-127-002	L’incident 222
001-128		Mort pour sa première
001-128-000	Défilé des morts (mortel)
001-129		Sortez de vos coquilles
001-129-000	Saison de renaissance
001-129-001	Frères lapins
001-129-002	Chasse aux œufs insulaire
001-129-003	Culture autochtone
001-129-004	Des plus anciens
001-129-005	Rongorongo
001-130		Éveil : P’tit Chat
001-130-000	Mini miaous (mortel)
001-131		Éveil : P’tit Chat tank
001-131-000	Mini Bill (mortel)
001-132		Éveil : P’tit Chat borgne
001-132-000	Mini découpeur (mortel)
001-133		Éveil : P’tit Grand Chat
001-133-000	Mini marcheur (mortel)
001-134		Éveil : P’tit Chat vache
001-134-000	Mini cornes (mortel)
001-135		Éveil : P’tit Chat oiseau
001-135-000	Mini ailes (mortel)
001-136		Éveil : P’tit Chat poisson
001-136-000	Mini nageoires (mortel)
001-137		Éveil : P’tit Chat lézard
001-137-000	Mini queue (mortel)
001-138		Éveil : P’tit Chat titan
001-138-000	Mini poings (mortel)
001-139		Pour les fans
001-139-000	On est les meilleurs
001-140		La main de Midas
001-140-000	De l’or dans le charbon
001-140-001	Mire la mine du mineur
001-140-002	Aube de l’âge d’or
001-140-003	Jamais de pelletée
001-140-004	Rêves pour de faux
001-142		Victoire visqueuse
001-142-000	Courses pluvieuses
001-142-001	Trophée de pacotille
001-142-002	Paris orageux
001-142-003	Derby du paradis
001-142-004	Étalons gluants
001-143		Éveil : Chat kart
001-143-000	Kartopia (expert)
001-143-001	Kartopia (maniaque)
001-145		
001-145-000	30 millions d’heureux !
001-146		Étoiles d’événement Grand jubilé !
001-146-000	Mégatonne offensive (maniaque)
001-147		Regarde et gagne
001-147-000	Spongieux au mieux
001-148		Éveil : Chat fleur
001-148-000	Les petits bourgeons (facile)
001-149		Cours d’été
001-149-000	Enfants à l’école
001-149-001	Je suis un Chat
001-149-002	c2 ＝ a2 ＋ b2
001-149-003	Guerre des roses
001-149-004	N2+3H2→2NH3
001-150		Caverne des comètes
001-150-000	Lieu d’impact (normal)
001-150-001	Lieu d’impact (vétéran)
001-150-002	Lieu d’impact (maniaque)
001-151		Île cendrée
001-151-000	Feu de forêt (normal)
001-151-001	Feu de forêt (vétéran)
001-151-002	Feu de forêt (maniaque)
001-152		Détroit ailé
001-152-000	Ruines anciennes (normal)
001-152-001	Ruines anciennes (vétéran)
001-152-002	Ruines anciennes (maniaque)
001-153		Éveil : Chat burger
001-153-000	Valeureuse épreuve (normal)
001-154		Silver Week
001-154-000	2e c’est bien
001-154-001	Anniversaire d’argent
001-154-002	Une route lointaine
001-155		XP sans répit !
001-155-000	Le goût du succès (sans répit)
001-156		Cadeau d’anniversaire !
001-156-000	5 ans de rigolade !
001-157		2e dimension
